Область,Індекс та номер дороги,Код КОАТУУ області,Довжина (протяжність) дороги (км),Найменування дороги,Найменша ширина земляного полотна (м),"Територіальний статус (обласна, районна)"
Вінницька,С020510,0500000000,4.32,/Немирів-Іллінці/-Лугова,10.0,районна
Вінницька,С020511,0500000000,1.488,Якубівка-Уланівка,8.0,районна
Вінницька,С020512,0500000000,5.015,Жорнище-Шевченкове,10.0,районна
Вінницька,С020513,0500000000,3.175,Жорнище-В'язовиця,10.0,районна
Вінницька,С020514,0500000000,1.165,/Іллінці-Красненьке/-Борисівка,10.0,районна
Вінницька,С020515,0500000000,1.503,/Паріївка-станція Оратів/-Даньківка,10.0,районна
Вінницька,С020516,0500000000,6.985,Кальник-Шабельна,10.0,районна
Вінницька,С020517,0500000000,3.51,Купчинці-Волошкове,6.0,районна
Вінницька,С020518,0500000000,17.43,Дашів-Петро-Марківка,6.0,районна
Вінницька,С020519,0500000000,6.608,Дашів-Кантелина,10.0,районна
Вінницька,С020520,0500000000,11.9,Романово-Хутір-Тягун,6.0,районна
Вінницька,С020521,0500000000,21.02,Красненьке-Василівка-Червоне,6.0,районна
Вінницька,С020522,0500000000,4.745,Пархомівка-Жадани,10.0,районна
Вінницька,С020523,0500000000,22.546,Кам' яногірка-Криштопівка,10.0,районна
Вінницька,С020524,0500000000,0.715,/Торків-Брацлав-Ситківці-Леухи-станція Монастирище/-Городок,10.0,районна
Вінницька,С020525,0500000000,6.08,Слободище-Росоховата,9.0,районна
Вінницька,С020526,0500000000,7.812,Сорока-Кантелина,10.0,районна
Вінницька,С020601,0500000000,11.522,Станіславчик-Будьки-Тарасівка,10.0,районна
Вінницька,С020602,0500000000,6.756,Потоки-Сідава,10.0,районна
Вінницька,С020603,0500000000,5.5,Новоселиця-Слобода-Почапинці,10.0,районна
Вінницька,С020604,0500000000,0.94,(станція Бар-Чернятин-Жмеринка)-Токарівка,10.0,районна
Вінницька,С020605,0500000000,5.0,Стодульці-Мельники,10.0,районна
Вінницька,С020606,0500000000,4.3,Жмеринка-станція Браїлів,10.0,районна
